adduser	3.137ubuntu1
libsoup-3.0-common	3.4.4-5ubuntu0.7
libsoxr0:amd64	0.1.3-4build3
libspatialite-dev:amd64	5.1.0-3build1
libspatialite8t64:amd64	5.1.0-3build1
libspdlog-dev:amd64	1:1.12.0+ds-2build1
libspdlog1.12:amd64	1:1.12.0+ds-2build1
libspeex1:amd64	1.2.1-2ubuntu2.24.04.1
libsphinxbase3t64:amd64	0.8+5prealpha+1-17build2
libsqlite3-0:amd64	3.45.1-1ubuntu2.7
libsqlite3-dev:amd64	3.45.1-1ubuntu2.7
libsratom-0-0:amd64	0.6.16-1build1
libsrt1.5-gnutls:amd64	1.5.3-1build2
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.4
libssh-gcrypt-4:amd64	0.10.6-2ubuntu0.4
libssl-dev:amd64	3.0.13-0ubuntu3.12
libssl3t64:amd64	3.0.13-0ubuntu3.12
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libstemmer0d:amd64	2.2.0-4build1
libsuperlu-dev:amd64	6.0.1+dfsg1-1build1
libsuperlu6:amd64	6.0.1+dfsg1-1build1
libsvtav1enc1d1:amd64	1.7.0+dfsg-2build1
libswresample-dev:amd64	7:6.1.1-3ubuntu5
libswresample4:amd64	7:6.1.1-3ubuntu5
libswscale-dev:amd64	7:6.1.1-3ubuntu5
libswscale7:amd64	7:6.1.1-3ubuntu5
libsystemd-shared:amd64	255.4-1ubuntu8.17
libsystemd0:amd64	255.4-1ubuntu8.17
libsz2:amd64	1.1.2-1build1
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.2
libtbb-dev:amd64	2021.11.0-2ubuntu2
libtbb12:amd64	2021.11.0-2ubuntu2
libtbbbind-2-5:amd64	2021.11.0-2ubuntu2
libtbbmalloc2:amd64	2021.11.0-2ubuntu2
libtcl8.6:amd64	8.6.14+dfsg-1build1
libtesseract5:amd64	5.3.4-1build5
libtext-charwidth-perl:amd64	0.04-11build3
libtext-iconv-perl:amd64	1.7-8build3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0:amd64	0.1.29-2build1
libtheora-dev:amd64	1.1.1+dfsg.1-16.1build3
libtheora0:amd64	1.1.1+dfsg.1-16.1build3
libtiff-dev:amd64	4.5.1+git230720-4ubuntu2.5
libtiff6:amd64	4.5.1+git230720-4ubuntu2.5
libtiffxx6:amd64	4.5.1+git230720-4ubuntu2.5
libtinfo6:amd64	6.4+20240113-1ubuntu2.1
libtinyxml2-10:amd64	10.0.0+dfsg-2
libtinyxml2-dev:amd64	10.0.0+dfsg-2
libtinyxml2.6.2v5:amd64	2.6.2-6.1
libtirpc-common	1.3.4+ds-1.1build1
libtirpc-dev:amd64	1.3.4+ds-1.1build1
libtirpc3t64:amd64	1.3.4+ds-1.1build1
libtk8.6:amd64	8.6.14-1build1
libtool	2.4.7-7build1
libtsan2:amd64	14.2.0-4ubuntu2~24.04.1
libtwolame0:amd64	0.4.0-2build3
libubsan1:amd64	14.2.0-4ubuntu2~24.04.1
libuchardet0:amd64	0.0.8-1build1
libucx0:amd64	1.16.0+ds-5ubuntu1
libudev-dev:amd64	255.4-1ubuntu8.17
libudev1:amd64	255.4-1ubuntu8.17
libudfread0:amd64	1.1.2-1build1
libunibreak5:amd64	5.1-2build1
libunistring5:amd64	1.1-2build1
libunwind8:amd64	1.6.2-3build1
liburcu-dev:amd64	0.14.0-3.1build1
liburcu8t64:amd64	0.14.0-3.1build1
liburdfdom-dev:amd64	4.0.0-0ubuntu1
liburdfdom-headers-dev	1.0.5-3
liburdfdom-model-state4.0:amd64	4.0.0-0ubuntu1
liburdfdom-model4.0:amd64	4.0.0-0ubuntu1
liburdfdom-sensor4.0:amd64	4.0.0-0ubuntu1
liburdfdom-world4.0:amd64	4.0.0-0ubuntu1
liburiparser-dev	0.9.7+dfsg-2build1
liburiparser1:amd64	0.9.7+dfsg-2build1
libusb-1.0-0:amd64	2:1.0.27-1
libusb-1.0-0-dev:amd64	2:1.0.27-1
libusb-1.0-doc	2:1.0.27-1
libutempter0:amd64	1.2.1-3build1
libutfcpp-dev	3.2.5+really3.2.4-1
libuuid1:amd64	2.39.3-9ubuntu6.5
libuv1t64:amd64	1.48.0-1.1build1
libva-drm2:amd64	2.20.0-2ubuntu0.2
libva-x11-2:amd64	2.20.0-2ubuntu0.2
libva2:amd64	2.20.0-2ubuntu0.2
libvdpau1:amd64	1.5-2build1
libvidstab1.1:amd64	1.1.0-2build1
libvisual-0.4-0:amd64	0.4.2-2build1
libvorbis0a:amd64	1.3.7-1build3
libvorbisenc2:amd64	1.3.7-1build3
libvorbisfile3:amd64	1.3.7-1build3
libvpl2	2023.3.0-1build1
libvpx9:amd64	1.14.0-1ubuntu2.3
libvtk9-dev	9.1.0+really9.1.0+dfsg2-7.1build3
libvtk9-java	9.1.0+really9.1.0+dfsg2-7.1build3
libvtk9-qt-dev:amd64	9.1.0+really9.1.0+dfsg2-7.1build3
libvtk9.1t64:amd64	9.1.0+really9.1.0+dfsg2-7.1build3
libvtk9.1t64-qt:amd64	9.1.0+really9.1.0+dfsg2-7.1build3
libvulkan-dev:amd64	1.3.275.0-1build1
libvulkan1:amd64	1.3.275.0-1build1
libwacom-common	2.10.0-2
libwacom9:amd64	2.10.0-2
libwayland-bin	1.22.0-2.1build1
libwayland-client0:amd64	1.22.0-2.1build1
libwayland-cursor0:amd64	1.22.0-2.1build1
libwayland-dev:amd64	1.22.0-2.1build1
libwayland-egl1:amd64	1.22.0-2.1build1
libwayland-server0:amd64	1.22.0-2.1build1
libwebp-dev:amd64	1.3.2-0.4build3
libwebp7:amd64	1.3.2-0.4build3
libwebpdecoder3:amd64	1.3.2-0.4build3
libwebpdemux2:amd64	1.3.2-0.4build3
libwebpmux3:amd64	1.3.2-0.4build3
libwoff1:amd64	1.0.2-2build1
libx11-6:amd64	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-dev:amd64	2:1.8.7-1build1
libx11-xcb-dev:amd64	2:1.8.7-1build1
libx11-xcb1:amd64	2:1.8.7-1build1
libx264-164:amd64	2:0.164.3108+git31e19f9-1
libx265-199:amd64	3.5-2build1
libx265-dev:amd64	3.5-2build1
libxapian30:amd64	1.4.22-1build1
libxau-dev:amd64	1:1.0.9-1build6
libxau6:amd64	1:1.0.9-1build6
libxaw7:amd64	2:1.0.14-1build2
libxaw7-dev:amd64	2:1.0.14-1build2
libxcb-dri2-0:amd64	1.15-1ubuntu2
libxcb-dri3-0:amd64	1.15-1ubuntu2
libxcb-glx0:amd64	1.15-1ubuntu2
libxcb-icccm4:amd64	0.4.1-1.1build3
libxcb-image0:amd64	0.4.0-2build1
libxcb-keysyms1:amd64	0.4.0-1build4
libxcb-present0:amd64	1.15-1ubuntu2
libxcb-randr0:amd64	1.15-1ubuntu2
libxcb-randr0-dev:amd64	1.15-1ubuntu2
libxcb-render-util0:amd64	0.3.9-1build4
libxcb-render0:amd64	1.15-1ubuntu2
libxcb-render0-dev:amd64	1.15-1ubuntu2
libxcb-shape0:amd64	1.15-1ubuntu2
libxcb-shm0:amd64	1.15-1ubuntu2
libxcb-sync1:amd64	1.15-1ubuntu2
libxcb-util1:amd64	0.4.0-1build3
libxcb-xfixes0:amd64	1.15-1ubuntu2
libxcb-xinerama0:amd64	1.15-1ubuntu2
libxcb-xinput0:amd64	1.15-1ubuntu2
libxcb-xkb1:amd64	1.15-1ubuntu2
libxcb1:amd64	1.15-1ubuntu2
libxcb1-dev:amd64	1.15-1ubuntu2
libxcomposite1:amd64	1:0.4.5-1build3
libxcursor-dev:amd64	1:1.2.1-1build1
libxcursor1:amd64	1:1.2.1-1build1
libxdamage1:amd64	1:1.1.6-1build1
libxdmcp-dev:amd64	1:1.1.3-0ubuntu6
libxdmcp6:amd64	1:1.1.3-0ubuntu6
libxerces-c-dev:amd64	3.2.4+debian-1.2ubuntu2
libxerces-c3.2t64:amd64	3.2.4+debian-1.2ubuntu2
libxext-dev:amd64	2:1.3.4-1build2
libxext6:amd64	2:1.3.4-1build2
libxfixes-dev:amd64	1:6.0.0-2build1
libxfixes3:amd64	1:6.0.0-2build1
libxft-dev:amd64	2.3.6-1build1
libxft2:amd64	2.3.6-1build1
libxi-dev:amd64	2:1.8.1-1build1
libxi6:amd64	2:1.8.1-1build1
libxinerama-dev:amd64	2:1.1.4-3build1
libxinerama1:amd64	2:1.1.4-3build1
libxkbcommon-dev:amd64	1.6.0-1build1
libxkbcommon-x11-0:amd64	1.6.0-1build1
libxkbcommon0:amd64	1.6.0-1build1
libxkbfile1:amd64	1:1.1.0-1build4
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxml2-dev:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxml2-utils	2.9.14+dfsg-1.3ubuntu3.8
libxmlb2:amd64	0.3.18-1
libxmu-dev:amd64	2:1.1.3-3build2
libxmu-headers	2:1.1.3-3build2
libxmu6:amd64	2:1.1.3-3build2
libxmuu1:amd64	2:1.1.3-3build2
libxnvctrl0:amd64	510.47.03-0ubuntu4.24.04.1
libxpm-dev:amd64	1:3.5.17-1ubuntu0.24.04.1
libxpm4:amd64	1:3.5.17-1ubuntu0.24.04.1
libxrandr-dev:amd64	2:1.5.2-2build1
libxrandr2:amd64	2:1.5.2-2build1
libxrender-dev:amd64	1:0.9.10-1.1build1
libxrender1:amd64	1:0.9.10-1.1build1
libxshmfence1:amd64	1.3-1build5
libxslt1.1:amd64	1.1.39-0exp1ubuntu0.24.04.3
libxss-dev:amd64	1:1.2.3-1build3
libxss1:amd64	1:1.2.3-1build3
libxt-dev:amd64	1:1.2.1-1.2build1
libxt6t64:amd64	1:1.2.1-1.2build1
libxtables12:amd64	1.8.10-3ubuntu2
libxtst6:amd64	2:1.2.3-1.1build1
libxv-dev:amd64	2:1.0.11-1.1build1
libxv1:amd64	2:1.0.11-1.1build1
libxvidcore4:amd64	2:1.3.7-1build1
libxxf86dga1:amd64	2:1.1.5-1build1
libxxf86vm-dev:amd64	1:1.1.4-1build4
libxxf86vm1:amd64	1:1.1.4-1build4
libxxhash0:amd64	0.8.2-2build1
libyaml-0-2:amd64	0.2.5-1build1
libyaml-cpp-dev:amd64	0.8.0+dfsg-6build1
libyaml-cpp0.8:amd64	0.8.0+dfsg-6build1
libyaml-dev:amd64	0.2.5-1build1
libzimg2:amd64	3.0.5+ds1-1build1
libzip-dev:amd64	1.7.3-1.1ubuntu2
libzip4t64:amd64	1.7.3-1.1ubuntu2
libzix-0-0:amd64	0.4.2-2build1
libzmq3-dev:amd64	4.3.5-1build2
libzmq5:amd64	4.3.5-1build2
libzstd-dev:amd64	1.5.5+dfsg2-2build1.1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64:amd64	0.2.42-2
libzzip-0-13t64:amd64	0.13.72+dfsg.1-1.2build1
libzzip-dev	0.13.72+dfsg.1-1.2build1
linux-libc-dev:amd64	6.8.0-137.137
locales	2.39-0ubuntu8.8
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2build3
lsof	4.95.0-1build3
lto-disabled-list	47
lttng-tools	2.13.11-2.1build4
m4	1.4.19-4build1
make	4.3-4.1build2
man-db	2.12.0-4build2
manpages	6.7-2
manpages-dev	6.7-2
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mesa-libgallium:amd64	25.2.8-0ubuntu0.24.04.2
mesa-va-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mesa-vdpau-drivers:amd64	25.2.8-0ubuntu0.24.04.2
mesa-vulkan-drivers:amd64	25.2.8-0ubuntu0.24.04.2
modemmanager	1.23.4-0ubuntu2
motd-news-config	13ubuntu10.1
mount	2.39.3-9ubuntu6.5
mpi-default-bin	1.15build1
mpi-default-dev	1.15build1
mysql-common	5.8+1.1.0build1
nano	7.2-2ubuntu0.2
ncurses-base	6.4+20240113-1ubuntu2.1
ncurses-bin	6.4+20240113-1ubuntu2.1
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netplan-generator	1.0.1-1ubuntu2~24.04.1
netplan.io	1.0.1-1ubuntu2~24.04.1
networkd-dispatcher	2.2.4-1
notification-daemon	3.20.0-4build3
ocl-icd-libopencl1:amd64	2.3.2-1build1
opencv-data	4.6.0+dfsg-13.1ubuntu1
openjdk-21-jdk:amd64	21.0.11+10-1~24.04.2
openjdk-21-jdk-headless:amd64	21.0.11+10-1~24.04.2
openjdk-21-jre:amd64	21.0.11+10-1~24.04.2
openjdk-21-jre-headless:amd64	21.0.11+10-1~24.04.2
openmpi-bin	4.1.6-7ubuntu2
openmpi-common	4.1.6-7ubuntu2
openni-utils	1.5.4.0+dfsg-7.1build1
openssh-client	1:9.6p1-3ubuntu13.18
openssl	3.0.13-0ubuntu3.12
packagekit	1.2.8-2ubuntu1.5
packagekit-tools	1.2.8-2ubuntu1.5
passwd	1:4.13+dfsg1-4ubuntu3.2
pastebinit	1.6.2-1
patch	2.7.6-7build3
pci.ids	0.0~2024.03.31-1
perl	5.38.2-3.2ubuntu0.3
perl-base	5.38.2-3.2ubuntu0.3
perl-modules-5.38	5.38.2-3.2ubuntu0.3
pinentry-curses	1.2.1-3ubuntu5
pkg-config:amd64	1.8.1-2build1
pkgconf:amd64	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
pocketsphinx-en-us	0.8.0+real5prealpha+1-15ubuntu5
polkitd	124-2ubuntu1.24.04.3
poppler-data	0.4.12-1
procps	2:4.0.4-4ubuntu3.2
proj-bin	9.4.0-1build2
proj-data	9.4.0-1build2
protobuf-compiler	3.21.12-8.2ubuntu0.3
psmisc	23.7-1build1
publicsuffix	20231001.0357-0.1
pybind11-dev	2.11.1-2
pydocstyle	6.3.0-1.1
pyflakes3	3.2.0-1
pyqt5-dev	5.15.10+dfsg-1build6
python-apt-common	2.7.7ubuntu5.1
python-babel-localedata	2.10.3-3build1
python-matplotlib-data	3.6.3-1ubuntu5
python3	3.12.3-0ubuntu2.1
python3-appdirs	1.4.4-4
python3-apport	2.28.1-0ubuntu3.8
python3-apt	2.7.7ubuntu5.1
python3-argcomplete	3.1.4-1ubuntu0.1
python3-attr	23.2.0-2
python3-automat	22.10.0-2
python3-babel	2.10.3-3build1
python3-bcrypt	3.2.2-1build1
python3-blinker	1.7.0-1
python3-brotli	1.1.0-2build2
python3-bs4	4.12.3-1
python3-cairo	1.25.1-2build2
python3-catkin-pkg-modules	1.1.0-2
python3-certifi	2023.11.17-1
python3-cffi-backend:amd64	1.16.0-2build1
python3-chardet	5.2.0+dfsg-1
python3-click	8.1.6-2
python3-colcon-argcomplete	0.3.3+upstream-1
python3-colcon-bash	0.5.0-100
python3-colcon-cd	0.2.1-100
python3-colcon-cmake	0.2.29-100
python3-colcon-common-extensions	0.3.0-100
python3-colcon-core	0.20.1+upstream-1
python3-colcon-defaults	0.2.9+upstream-1
python3-colcon-devtools	0.3.0-100
python3-colcon-installed-package-information	0.2.1-100
python3-colcon-library-path	0.2.1-100
python3-colcon-metadata	0.2.5-100
python3-colcon-notification	0.3.1+upstream-1
python3-colcon-output	0.2.14+upstream-1
python3-colcon-override-check	0.0.1-100
python3-colcon-package-information	0.4.1+upstream-1
python3-colcon-package-selection	0.2.10-100
python3-colcon-parallel-executor	0.3.0-100
python3-colcon-pkg-config	0.1.0-100
python3-colcon-powershell	0.5.0+upstream-1
python3-colcon-python-setup-py	0.2.9-100
python3-colcon-recursive-crawl	0.2.3-100
python3-colcon-ros	0.5.0+upstream-1
python3-colcon-test-result	0.3.8-100
python3-colcon-zsh	0.5.0-100
python3-colorama	0.4.6-4
python3-commandnotfound	23.04.0
python3-configobj	5.0.8-3
python3-constantly	23.10.4-1
python3-contourpy	1.0.7-2build1
python3-coverage	7.4.4+dfsg1-0ubuntu2
python3-cryptography	41.0.7-4ubuntu0.4
python3-cssselect	1.2.0-2
python3-cycler	0.11.0-2
python3-dateutil	2.8.2-3ubuntu1
python3-dbus	1.3.2-5build3
python3-debconf	1.5.86ubuntu1
python3-decorator	5.1.1-5
python3-deprecated	1.2.14-1
python3-dev	3.12.3-0ubuntu2.1
python3-distlib	0.3.8-1
python3-distro	1.9.0-1
python3-distro-info	1.7build1
python3-distupgrade	1:24.04.23
python3-docutils	0.20.1+dfsg-3
python3-empy	3.3.4-2
python3-filelock	3.13.1-1
python3-flake8	7.0.0-1
python3-flake8-builtins	2.1.0-1
python3-flake8-comprehensions	3.14.0-1
python3-flake8-docstrings	1.6.0-2
python3-flake8-import-order	0.18.2-2
python3-flake8-quotes	3.4.0-1
python3-fonttools	4.46.0-1build2
python3-fs	2.4.16-3
python3-gdbm:amd64	3.12.3-0ubuntu1
python3-gi	3.48.2-1
python3-hamcrest	2.1.0-1
python3-html5lib	1.1-6
python3-httplib2	0.20.4-3ubuntu0.1
python3-hyperlink	21.0.0-5
python3-idna	3.6-2ubuntu0.2
python3-importlib-metadata	4.12.0-1
python3-incremental	22.10.0-1
python3-iniconfig	1.1.1-2
python3-jinja2	3.1.2-1ubuntu1.3
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.32-3
python3-jsonschema	4.10.3-2ubuntu1
python3-jwt	2.7.0-1ubuntu0.1
python3-kiwisolver	1.4.4-2build1
python3-lark	1.1.9-1
python3-launchpadlib	1.11.0-6
python3-lazr.restfulclient	0.14.6-1
python3-lazr.uri	1.0.6-3
python3-lxml:amd64	5.2.1-1
python3-lz4	4.0.2+dfsg-1build4
python3-markdown-it	3.0.0-2
python3-markupsafe	2.1.5-1build2
python3-matplotlib	3.6.3-1ubuntu5
python3-mccabe	0.7.0-1
python3-mdurl	0.1.2-1
python3-minimal	3.12.3-0ubuntu2.1
python3-more-itertools	10.2.0-1
python3-mpi4py	3.1.5-5ubuntu2
python3-mpmath	1.2.1-3
python3-netifaces:amd64	0.11.0-2build3
python3-netplan	1.0.1-1ubuntu2~24.04.1
python3-newt:amd64	0.52.24-2ubuntu2
python3-notify2	0.3-5
python3-numpy	1:1.26.4+ds-6ubuntu1
python3-oauthlib	3.2.2-1
python3-olefile	0.46-3
python3-opencv:amd64	4.6.0+dfsg-13.1ubuntu1
python3-openssl	23.2.0-1ubuntu0.1
python3-packaging	24.0-1
python3-pil:amd64	10.2.0-1ubuntu1.2
python3-pil.imagetk:amd64	10.2.0-1ubuntu1.2
python3-pip	24.0+dfsg-1ubuntu1.3
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-pluggy	1.4.0-1
python3-problem-report	2.28.1-0ubuntu3.8
python3-protobuf	3.21.12-8.2ubuntu0.3
python3-psutil	5.9.8-2build2
python3-pyasn1	0.4.8-4ubuntu0.2
python3-pyasn1-modules	0.2.8-1
python3-pycodestyle	2.11.1-1
python3-pycurl	7.45.3-1build2
python3-pydocstyle	6.3.0-1.1
python3-pydot	1.4.2-2
python3-pyflakes	3.2.0-1
python3-pygments	2.17.2+dfsg-1
python3-pygraphviz	1.7-4build1
python3-pykdl:amd64	1.5.1-4build1
python3-pyparsing	3.1.1-1
python3-pyqt5	5.15.10+dfsg-1build6
python3-pyqt5.qtsvg	5.15.10+dfsg-1build6
python3-pyqt5.sip	12.13.0-1build3
python3-pyrsistent:amd64	0.20.0-1build2
python3-pyside2.qtcore	5.15.13-1
python3-pyside2.qtgui	5.15.13-1
python3-pyside2.qtsvg	5.15.13-1
python3-pyside2.qtwidgets	5.15.13-1
python3-pytest	7.4.4-1
python3-pytest-cov	4.1.0-1
python3-requests	2.31.0+dfsg-1ubuntu1.1
python3-rich	13.7.1-1
python3-roman	3.3-3
python3-rosdep	0.26.0-1
python3-rosdep-modules	0.26.0-1
python3-rosdistro-modules	1.0.1-1
python3-rospkg-modules	1.6.1-1
python3-scipy	1.11.4-6build1
python3-serial	3.5-2
python3-service-identity	24.1.0-1
python3-setuptools	68.1.2-2ubuntu1.2
python3-sip	4.19.25+dfsg-5build3
python3-sip-dev	4.19.25+dfsg-5build3
python3-six	1.16.0-4
python3-snowballstemmer	2.2.0-4build1
python3-software-properties	0.99.49.1
python3-soupsieve	2.5-1
python3-sympy	1.12-7
python3-systemd	235-1build4
python3-tk:amd64	3.12.3-0ubuntu1
python3-transforms3d	0.4.1+ds-1
python3-twisted	24.3.0-1ubuntu0.2
python3-typeguard	4.1.5-1
python3-typing-extensions	4.10.0-1
python3-tz	2024.1-2
python3-ufolib2	0.16.0+dfsg1-1
python3-unicodedata2	15.1.0+ds-1build1
python3-update-manager	1:24.04.9
python3-urllib3	2.0.7-1ubuntu0.7
python3-vcstool	0.3.0-1
python3-vtk9	9.1.0+really9.1.0+dfsg2-7.1build3
python3-wadllib	1.3.6-5
python3-webencodings	0.5.1-5
python3-wheel	0.42.0-2
python3-wrapt	1.15.0-2build3
python3-yaml	6.0.1-2build2
python3-zipp	1.0.0-6ubuntu0.1
python3-zope.interface	6.1-1build1
python3.12	3.12.3-1ubuntu0.15
python3.12-dev	3.12.3-1ubuntu0.15
python3.12-minimal	3.12.3-1ubuntu0.15
qdoc-qt5	5.15.13-1
qhelpgenerator-qt5	5.15.13-1
qml-module-qt-labs-folderlistmodel:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qt-labs-platform:amd64	5.15.13+dfsg-1
qml-module-qt-labs-settings:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtcharts:amd64	5.15.13-1
qml-module-qtgraphicaleffects:amd64	5.15.13-1
qml-module-qtlocation:amd64	5.15.13+dfsg-1
qml-module-qtpositioning:amd64	5.15.13+dfsg-1
qml-module-qtqml:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtqml-models2:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtquick-controls:amd64	5.15.13-1
qml-module-qtquick-controls2:amd64	5.15.13+dfsg-1
qml-module-qtquick-dialogs:amd64	5.15.13-1
qml-module-qtquick-extras:amd64	5.15.13-1
qml-module-qtquick-layouts:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtquick-privatewidgets:amd64	5.15.13-1
qml-module-qtquick-templates2:amd64	5.15.13+dfsg-1
qml-module-qtquick-window2:amd64	5.15.13+dfsg-1ubuntu0.1
qml-module-qtquick2:amd64	5.15.13+dfsg-1ubuntu0.1
qt5-assistant	5.15.13-1
qt5-gtk-platformtheme:amd64	5.15.13+dfsg-1ubuntu1
qt5-qmake:amd64	5.15.13+dfsg-1ubuntu1
qt5-qmake-bin	5.15.13+dfsg-1ubuntu1
qt5-qmltooling-plugins:amd64	5.15.13+dfsg-1ubuntu0.1
qtattributionsscanner-qt5	5.15.13-1
qtbase5-dev:amd64	5.15.13+dfsg-1ubuntu1
qtbase5-dev-tools	5.15.13+dfsg-1ubuntu1
qtchooser	66-2build2
qtdeclarative5-dev:amd64	5.15.13+dfsg-1ubuntu0.1
qtdeclarative5-dev-tools	5.15.13+dfsg-1ubuntu0.1
qtquickcontrols2-5-dev:amd64	5.15.13+dfsg-1
qttools5-dev:amd64	5.15.13-1
qttools5-dev-tools	5.15.13-1
qttools5-private-dev:amd64	5.15.13-1
qttranslations5-l10n	5.15.13-1
qtwayland5:amd64	5.15.13-1
rake	13.0.6-3
rapidjson-dev	1.1.0+dfsg2-7.2
readline-common	8.2-4build1
ros-jazzy-ackermann-msgs	2.0.2-6noble.20260412.033758
ros-jazzy-ackermann-steering-controller	4.39.0-1noble.20260412.065724
ros-jazzy-action-msgs	2.0.3-1noble.20260412.032342
ros-jazzy-action-tutorials-cpp	0.33.10-1noble.20260412.044552
ros-jazzy-action-tutorials-interfaces	0.33.10-1noble.20260412.032748
ros-jazzy-action-tutorials-py	0.33.10-1noble.20260412.042036
ros-jazzy-actionlib-msgs	5.3.7-1noble.20260412.034232
ros-jazzy-actuator-msgs	0.0.1-4noble.20260412.033807
ros-jazzy-admittance-controller	4.39.0-1noble.20260412.063944
ros-jazzy-ament-cmake	2.5.6-2noble.20260225.222913
ros-jazzy-ament-cmake-auto	2.5.6-2noble.20260225.232257
ros-jazzy-ament-cmake-copyright	0.17.5-1noble.20260410.113746
ros-jazzy-ament-cmake-core	2.5.6-2noble.20260224.191131
ros-jazzy-ament-cmake-cppcheck	0.17.5-1noble.20260410.113607
ros-jazzy-ament-cmake-cpplint	0.17.5-1noble.20260410.105800
ros-jazzy-ament-cmake-export-definitions	2.5.6-2noble.20260224.232207
ros-jazzy-ament-cmake-export-dependencies	2.5.6-2noble.20260225.043730
ros-jazzy-ament-cmake-export-include-directories	2.5.6-2noble.20260224.232223
ros-jazzy-ament-cmake-export-interfaces	2.5.6-2noble.20260225.042039
ros-jazzy-ament-cmake-export-libraries	2.5.6-2noble.20260224.232254
ros-jazzy-ament-cmake-export-link-flags	2.5.6-2noble.20260225.042107
ros-jazzy-ament-cmake-export-targets	2.5.6-2noble.20260225.042100
ros-jazzy-ament-cmake-flake8	0.17.5-1noble.20260410.113910
ros-jazzy-ament-cmake-gen-version-h	2.5.6-2noble.20260225.042237
ros-jazzy-ament-cmake-gmock	2.5.6-2noble.20260225.215706
ros-jazzy-ament-cmake-gtest	2.5.6-2noble.20260225.145055
ros-jazzy-ament-cmake-include-directories	2.5.6-2noble.20260225.042241
ros-jazzy-ament-cmake-libraries	2.5.6-2noble.20260225.042312
ros-jazzy-ament-cmake-lint-cmake	0.17.5-1noble.20260410.113602
ros-jazzy-ament-cmake-pep257	0.17.5-1noble.20260410.113929
ros-jazzy-ament-cmake-pytest	2.5.6-2noble.20260225.145739
ros-jazzy-ament-cmake-python	2.5.6-2noble.20260225.042312
ros-jazzy-ament-cmake-ros	0.12.0-3noble.20260225.232209
ros-jazzy-ament-cmake-target-dependencies	2.5.6-2noble.20260225.043936
ros-jazzy-ament-cmake-test	2.5.6-2noble.20260225.143205
ros-jazzy-ament-cmake-uncrustify	0.17.5-1noble.20260410.113615
ros-jazzy-ament-cmake-version	2.5.6-2noble.20260225.042330
ros-jazzy-ament-cmake-xmllint	0.17.5-1noble.20260410.113914
ros-jazzy-ament-copyright	0.17.5-1noble.20260410.105859
ros-jazzy-ament-cppcheck	0.17.5-1noble.20260410.080408
ros-jazzy-ament-cpplint	0.17.5-1noble.20260410.080348
ros-jazzy-ament-flake8	0.17.5-1noble.20260410.113507
ros-jazzy-ament-index-cpp	1.8.2-1noble.20260412.024949
ros-jazzy-ament-index-python	1.8.2-1noble.20260412.024953
ros-jazzy-ament-lint	0.17.5-1noble.20260410.080358
ros-jazzy-ament-lint-auto	0.17.5-1noble.20260410.080333
ros-jazzy-ament-lint-cmake	0.17.5-1noble.20260410.080405
ros-jazzy-ament-lint-common	0.17.5-1noble.20260410.114154
ros-jazzy-ament-package	0.16.5-1noble.20260121.174946
ros-jazzy-ament-pep257	0.17.5-1noble.20260410.113520
ros-jazzy-ament-uncrustify	0.17.5-1noble.20260410.080359
ros-jazzy-ament-xmllint	0.17.5-1noble.20260410.113521
ros-jazzy-angles	1.16.1-1noble.20260225.231445
ros-jazzy-backward-ros	1.0.8-1noble.20260225.051215
ros-jazzy-bicycle-steering-controller	4.39.0-1noble.20260412.065852
ros-jazzy-builtin-interfaces	2.0.3-1noble.20260412.031450
ros-jazzy-chained-filter-controller	4.39.0-1noble.20260412.063948
ros-jazzy-chomp-motion-planner	2.12.4-1noble.20260412.063134
ros-jazzy-class-loader	2.7.0-3noble.20260226.003328
ros-jazzy-common-interfaces	5.3.7-1noble.20260412.035857
ros-jazzy-composition	0.33.10-1noble.20260412.044808
ros-jazzy-composition-interfaces	2.0.3-1noble.20260412.034209
